condition,category,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline
base_qwen_standard_fulltest,duration_minutes,3,0.0,0.0,0,0.0,-0.3448275862068966,-0.3448275862068966
base_qwen_standard_fulltest,immediate_before_after,3,0.3333333333333333,0.611111111111111,0,0.0,0.23076923076923075,0.1691445976513849
base_qwen_standard_fulltest,overlap_while_during,4,0.5,0.5,0,0.0,-0.15217391304347827,-0.19466403162055335
base_qwen_standard_fulltest,which_first_last,4,0.0,0.03846153846153846,0,0.0,-0.1702127659574468,-0.2368353451582488
base_qwen_standard_fulltest,yes_no_before_after,6,0.8333333333333334,0.8333333333333334,0,0.0,0.2435897435897436,0.2435897435897436
base_qwen_standard_smoke_10,duration_minutes,1,0.0,0.0,0,0.0,-0.3448275862068966,-0.3448275862068966
base_qwen_standard_smoke_10,immediate_before_after,2,0.5,0.8333333333333333,0,0.0,0.39743589743589747,0.3913668198736071
base_qwen_standard_smoke_10,overlap_while_during,1,1.0,1.0,0,0.0,0.34782608695652173,0.30533596837944665
base_qwen_standard_smoke_10,which_first_last,2,0.0,0.07692307692307691,0,0.0,-0.1702127659574468,-0.19837380669671034
base_qwen_standard_smoke_10,yes_no_before_after,4,1.0,1.0,0,0.0,0.41025641025641024,0.41025641025641024
base_qwen_standard_smoke_100,duration_minutes,15,0.2,0.2,0,0.0,-0.14482758620689656,-0.14482758620689656
base_qwen_standard_smoke_100,immediate_before_after,15,0.13333333333333333,0.47842342842342844,0,0.0,0.03076923076923077,0.03645691496370229
base_qwen_standard_smoke_100,other_temporal,1,0.0,0.0,0,0.0,0.0,-0.4444444444444444
base_qwen_standard_smoke_100,overlap_while_during,7,0.5714285714285714,0.5714285714285714,0,0.0,-0.08074534161490687,-0.12323546019198195
base_qwen_standard_smoke_100,tournament_round_sequence,3,0.6666666666666666,0.7222222222222223,0,0.0,0.16666666666666663,0.18055555555555558
base_qwen_standard_smoke_100,which_first_last,15,0.06666666666666667,0.17983312983312985,0,0.0,-0.10354609929078014,-0.09546375378665742
base_qwen_standard_smoke_100,yes_no_before_after,44,0.5909090909090909,0.5909090909090909,0,0.0,0.0011655011655011815,0.0011655011655011815
base_qwen_standard_test224,duration_minutes,29,0.3448275862068966,0.3448275862068966,0,0.0,0.0,0.0
base_qwen_standard_test224,immediate_before_after,39,0.10256410256410256,0.44196651345972615,0,0.0,0.0,0.0
base_qwen_standard_test224,other_temporal,3,0.0,0.4444444444444444,0,0.0,0.0,0.0
